,SS02232_35c_r14,SS02232_35c_r09,SS02232_35c_r05,SS02232_35c_r02,SS02232_35c_r04,SS02232_35c_r13,SS02232_35c_r12,SS02232_35c_r03,SS02232_35c_r06,SS02232_35c_r10,SS02232_35c_r08,SS02232_35c_r01,SS02232_35c_r07,SS02232_35c_r11,SS00238_r6,SS00238_r3,SS00238_r2,SS00238_r4,SS00238_r1,SS00238_r7,SS00238_r5,50pg_CBqRNA_r3,50pg_CBqRNA_r5,50pg_CBqRNA_r1,50pg_CBqRNA_r2,50pg_CBqRNA_r6,50pg_CBqRNA_r4,50pg_CBqRNA_r7,50pg_CBqRNA_r8
FBgn0020626,29.9993143,52.90360125,15.76699773,87.59014486,35.27814213,78.6597032,57.5594342,23.2268531,55.48234968,99.33759695,72.23081199,57.1489144,99.53892817,109.3647186,81.96415612,28.60353074,57.73648721,51.77065043,34.16214767,50.04431741,59.15649153,49.61790397,53.01719646,75.46141001,79.5693568,75.54019274,56.41314939,37.90140581,65.86921904
FBgn0020633,0.476179592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0020637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0020638,0,0,0,0,0,0,0,0,0,0,0,0,0.939046492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0020639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0020640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0020641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.19807178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0020642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0020643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0020644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0020645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0020647,12.85684899,118.065354,117.64606,35.15522821,100.6294546,127.4690575,227.6213989,57.76935258,93.96204381,58.18938734,126.6656268,217.9954557,225.8406814,123.0353084,22.8687476,19.73017266,21.11505818,35.92116649,29.51096324,19.26588746,23.75023586,61.83154187,56.67355484,59.23314979,51.20115133,92.68406627,56.41314939,95.75091994,107.29213
FBgn0020653,273.3270859,270.3244991,92.78271743,28.0050123,81.54455803,108.9134352,119.0433753,153.6545667,81.8812096,109.3129205,86.88633906,80.1928315,85.92275404,215.5396329,95.32206944,142.391299,116.0503393,70.28336734,111.227462,116.0652244,104.5536213,107.632684,103.5968207,135.5059728,103.0942101,107.1492096,144.6228012,94.42104605,129.0221816
FBgn0020655,48.57031839,88.38772404,97.63410135,29.79256628,19.66322676,37.11124459,0.981126719,0,38.03225583,3.325107848,7.851175216,13.36547192,27.70187152,1.82274531,11.75496372,22.02680652,6.433494289,9.808492115,11.06661122,10.33779327,22.52328641,32.82415186,49.97023115,49.49619366,41.51444703,41.78819173,47.18190676,36.57153192,59.0785779
FBgn0020660,312.3738124,332.2604225,229.8343131,281.2418257,209.9338622,363.044784,488.6011063,396.0476234,179.8701981,408.9882653,309.3363035,462.260977,200.9559493,385.9663193,299.7515749,222.0427368,129.9070962,150.9598389,232.2384499,189.1346268,165.8134548,393.1264699,336.3849707,308.3369441,271.919628,362.7000744,290.271296,420.2401486,284.5278637
FBgn0020762,72.85547759,49.67777191,10.30919083,41.11374146,101.786115,56.87701616,6.867887036,75.63616266,64.87855406,29.51033215,38.7324644,0,4.695232461,107.5419733,50.22575408,86.64573181,47.67384229,59.04582339,86.60826169,24.43478409,89.74258863,72.51847504,45.09508665,25.96521635,20.75722351,40.71669963,61.54161752,25.93254082,39.3857186
FBgn0020764,85.23614698,140.0009936,162.5213612,36.94278218,227.2837681,64.54129493,116.7540796,125.0676705,192.3984707,211.9756253,146.031859,97.24533015,38.97042943,0.455686327,120.3280832,151.2646571,128.7523665,151.2846234,117.0013461,148.6057782,138.2070921,113.739503,147.4731212,109.5407565,74.0340972,123.757337,55.38745577,132.9873888,154.826618
FBgn0020765,0,0,0,0,0,0,0,0.595560336,0,0,0,0,0,0,0,0,0.082480696,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0020767,342.8493063,235.4855422,437.8373986,236.5529762,436.6393001,215.0031887,436.9284324,184.0281438,280.5438165,157.5269843,228.207493,227.6739009,293.9215521,379.5867107,68.28565289,89.6731128,104.2555998,76.45427297,45.38914455,72.12960303,77.64837259,321.3713473,210.8499997,253.1608594,262.9248312,226.0848322,240.0123083,279.9384534,188.7798236
FBgn0020880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080192835,0,0,0,0,0,0,0,0,0,0
FBgn0020887,8.095053065,11.61298564,0.60642299,0.595851326,0,22.58945323,16.02506975,0,8.053889469,61.93013367,69.0903419,12.44371523,1.408569738,0.911372655,1.068633065,21.19166694,0.247442088,4.09228479,4.570991589,5.051421711,0.701113974,2.290057106,6.703323691,11.35978215,11.76242666,12.3221591,21.53956613,16.6234236,20.37192342
FBgn0020906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0020907,307.1358369,34.83895692,0,0.595851326,0.578330199,561.5092659,45.78591357,41.09366318,1.789753215,20.36628557,116.1973932,236.4305894,171.8455081,56.5051046,0,0,0,0,0,0,0,467.1716497,551.5007218,593.9543239,634.4791321,452.7054104,670.803631,430.2142028,330.7042234
FBgn0020908,0,0.645165869,1.212845979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26291774,44.27443739,6.093930628,8.925543119,15.22196391,14.46514329,26.66803426,2.659747776,9.506897594
FBgn0020909,0,0,0,0,0.578330199,0,28.12563262,0,0,0,0,0,19.25045309,0,2.244129438,0,1.23721044,2.143577747,0.240578505,0.469899694,1.314588701,12.97699027,2.437572251,3.245652043,0,1.071492096,2.051387251,9.97405416,1.358128228
FBgn0020910,1393.777666,980.6521208,550.0256517,1045.123225,1739.617238,1045.972361,544.5253293,770.0595143,812.9953981,961.787445,914.9236185,1534.724879,983.1816773,599.2275205,858.0054883,778.9764467,762.4515539,1012.872964,871.375344,873.6610061,766.7557695,825.947263,751.3816464,596.388563,500.2490867,516.4591901,574.3884302,785.2905309,950.0106953
