gene_id,E-PG_l1r1,E-PG_l1r2,E-PG_l2r1,E-PG_l2r2,P-EG_r1,P-EG_r2,D7_l1r1,D7_l1r2,D7_l2r1,D7_l2r2,P-EN2_l1r1,P-EN2_l2r1,wholebrain_1,wholebrain_2
FBgn0000008,0.02,0.27,0.81,0.04,2.29,0.23,0.02,1.02,0.83,0.5,3.68,0.0,4.14,4.17
FBgn0000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.33,0.28
FBgn0000015,0.0,0.26,0.01,0.0,1.71,0.27,0.04,0.03,0.91,1.49,0.0,0.0,0.75,0.62
FBgn0000017,4.63,23.07,19.11,18.83,6.44,8.76,7.19,8.0,10.34,19.9,17.86,4.46,21.84,21.44
FBgn0000018,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.38,0.38
FBgn0000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.45
FBgn0000024,71.12,95.92,110.15,126.87,74.04,71.99,47.8,36.86,31.81,46.6,166.78,70.31,182.71,175.15
FBgn0000028,0.11,0.24,0.03,0.07,2.17,0.05,0.13,0.06,0.09,0.05,1.13,0.13,20.69,18.54
FBgn0000032,0.04,3.94,0.7,2.49,3.17,0.02,0.83,0.26,4.26,0.41,0.0,0.0,2.98,2.77
FBgn0000036,9.04,13.79,13.25,11.67,3.64,1.91,3.02,1.13,1.78,7.9,10.99,3.07,68.08,63.18
FBgn0000037,15.05,12.23,12.21,12.34,17.87,29.6,19.33,11.58,22.94,27.54,29.45,22.23,32.46,32.64
FBgn0000038,135.63,328.78,354.17,329.86,158.2,331.95,121.26,91.77,163.77,146.75,250.63,156.39,427.39,435.52
FBgn0000039,0.0,0.97,5.67,0.6,8.48,1.93,3.09,1.69,2.09,4.99,0.08,0.0,12.27,11.15
FBgn0000042,109.01,205.19,207.91,217.75,260.79,267.49,314.95,248.44,500.99,534.53,415.98,355.63,448.55,462.64
FBgn0000043,5.84,18.59,9.93,0.98,0.11,0.59,11.54,10.57,5.07,1.48,1.89,3.85,3.28,3.93
