"","P396_Q701A","P396_Q701B","P396_Q701C","P396_Q701D","P396_Q701E","P396_Q701F","P396_Q701G","P396_Q701H","P396_Q702A","P396_Q702B","P396_Q702C","P396_Q702D","P396_Q702E","P396_Q702F","P396_Q702G","P396_Q702H","P396_Q703A","P396_Q703B","P396_Q703C","P396_Q703D","P396_Q703E","P396_Q703F","P396_Q703G","P396_Q703H","P396_Q704A","P396_Q704B","P396_Q704C","P396_Q704D","P396_Q704E","P396_Q704F","P396_Q704G","P396_Q704H","P396_Q705A","P396_Q705B","P396_Q705C","P396_Q705D","P396_Q705E","P396_Q705F","P396_Q705G","P396_Q705H","P396_Q706A","P396_Q706B","P396_Q706C","P396_Q706D","P396_Q706E","P396_Q706F","P396_Q706G","P396_Q706H","P396_Q707A","P396_Q707B","P396_Q707C","P396_Q707D","P396_Q707E","P396_Q707F","P396_Q707G","P396_Q707H","P396_Q708A","P396_Q708B","P396_Q708C","P396_Q708D","P396_Q708E","P396_Q708F","P396_Q708G","P396_Q708H","P396_Q709A","P396_Q709B","P396_Q709C","P396_Q709D","P396_Q709E","P396_Q709F","P396_Q709G","P396_Q709H","P396_Q710A","P396_Q710B","P396_Q710C","P396_Q710D","P396_Q710E","P396_Q710F","P396_Q710G","P396_Q710H","P396_Q711A","P396_Q711B","P396_Q711C","P396_Q711D","P396_Q711E","P396_Q711F","P396_Q711G","P396_Q711H","P396_Q712A","P396_Q712B","P396_Q712C","P396_Q712D","P396_Q712E","P396_Q712F","P396_Q712G","P396_Q712H"
"FBgn0000094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000097",0,106,1,0,0,4,0,182,0,0,0,4,0,0,0,7,123,0,0,196,62,394,0,0,3,2,0,179,70,148,0,0,95,0,34,243,122,0,47,1,191,3,196,0,0,134,0,0,182,250,0,3,261,58,0,25,0,8,86,50,61,70,0,2,0,173,0,173,9,1,0,2,0,1,10,63,37,0,0,0,7,0,0,0,74,0,2,0,38,62,74,0,121,0,0,0
"FBgn0000100",0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,85,0,64,0,0,0,47,0,0,0,0,0,0,160,0,44,47,46,0,90,0,0,0,0,0,0,51,5,55,207,2,0,0,225,78,0,0,1,60,105,30,72,55,0,0,0,29,0,16,61,0,0,0,33,0,0,91,21,0,55,60,65,0,12,98,65,0,0,120,0,16,0,0,0,0,103,1
"FBgn0000108",3,466,1,3,46,3,4,551,48,47,122,122,103,5,3,113,195,2,2,1295,335,996,0,55,9,184,361,18,145,191,0,15,377,0,241,276,11,129,65,1,207,0,562,7,252,637,0,131,213,339,1,3,1568,1059,1,8,2,254,884,270,984,114,2,51,1,157,1,882,399,2,0,91,261,0,198,1111,34,2,172,513,843,89,2,997,531,107,49,3,130,488,224,6,391,3,560,10
"FBgn0000109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000115",0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000116",1,1,0,2,0,2,1,38,1,0,0,72,0,0,0,5,11,0,0,178,0,101,0,40,0,72,212,73,265,1,1,22,285,1,16,118,0,119,65,2,118,1,88,0,113,249,64,237,95,91,0,21,53,78,0,2,0,145,164,0,3,132,0,15,0,22,1,167,138,140,0,46,4,38,102,197,0,0,22,478,140,13,0,180,118,23,0,40,0,84,0,1,35,0,111,4
"FBgn0000117",1,0,0,1,0,0,0,4,0,0,72,0,0,0,0,0,0,0,0,76,0,30,0,0,0,0,0,0,125,0,0,0,28,0,1,17,30,0,44,0,42,0,0,0,0,0,0,71,114,2,0,0,19,16,0,0,0,0,3,0,37,10,0,0,0,0,2,36,10,0,0,24,1,1,71,3,1,0,0,0,33,0,0,64,39,0,0,0,0,29,112,0,0,0,20,0
"FBgn0000119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000139",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,53,0,0,0,0,1,0
"FBgn0000140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
