"","logFC","logCPM","F","PValue","FDR","mean1","mean2","frac1","frac2"
"FBgn0025697",5.44484554119073,3.49345300747591,46.5946328848391,0.00458317893921787,0.0804410979723758,0,12.9384493024172,0,1
"FBgn0013997",2.76063271075627,4.62699715495269,28.9881671592149,0.00458533634853862,0.0804410979723758,4.90375685805022,34.9854366568997,1,1
"FBgn0039722",5.66821523859793,3.6279891586609,46.4898384714819,0.00459944244638994,0.0804410979723758,0,15.1548242060818,0,1
"FBgn0040283",3.3166739158657,3.83035404066508,28.91811535305,0.00460674865274487,0.0804410979723758,1.47597273365366,17.3988971320709,1,1
"FBgn0032195",4.43204717424581,3.29475031079736,28.912410643037,0.00460849881457453,0.0804410979723758,0.167245327535878,9.84466373084632,0.5,1
"FBgn0052075",5.02541182821046,3.26390244134431,46.4087869346309,0.00461208467221855,0.0804410979723758,0,9.59755186553743,0,1
"FBgn0011300",2.57787324132415,5.80204995421611,28.8747913939511,0.00462006451345948,0.0804410979723758,14.4257486338075,87.684307208436,1,1
"FBgn0051538",3.0305886378881,3.60979631532048,28.8712623227423,0.00462115167279971,0.0804410979723758,1.37981030567048,13.4353721949887,1,1
"FBgn0267612",5.53297885878688,3.54552518138308,46.2933288860354,0.00463018987967169,0.0804410979723758,0,13.771533865483,0,1
"FBgn0051704",6.14620533646535,3.94311699396232,46.1950664868858,0.00464568842934441,0.0804410979723758,0,21.2285065024674,0,1
"FBgn0041702",6.18168424395206,3.96791321537739,46.1556292323455,0.00465193209067152,0.0804410979723758,0,21.7646057829939,0,1
"FBgn0039631",3.82809683448485,3.30529334689718,28.74736523642,0.0046595576841662,0.0804410979723758,0.406167224015703,9.74706557136195,0.5,1
"FBgn0285911",3.01014860834082,3.49909045728793,28.741639075455,0.00466134397463786,0.0804410979723758,1.19616636287623,11.8029101023268,1,1
"FBgn0051098",5.06834424266479,3.28596895583538,46.0462022571897,0.00466932699764902,0.0804410979723758,0,9.89590448669802,0,1
"FBgn0264817",5.31409522959747,3.41860895483291,46.039671031523,0.0046703685178004,0.0804410979723758,0,11.790064398075,0,1
"FBgn0266372",4.95850205890542,3.23009554027854,46.0193171941687,0.00467361668676763,0.0804410979723758,0,9.14828268464213,0,1
"FBgn0033813",4.93935244995273,3.22058141074442,46.0065102893743,0.00467566233251535,0.0804410979723758,0,9.02394541563264,0,1
"FBgn0027101",1.85326810146287,6.60976301649965,28.6895397710549,0.00467764261527674,0.0804410979723758,40.1077566424201,145.714590232603,1,1
"FBgn0037102",4.98115108682489,3.24146625733304,45.9432828768952,0.00468578268740544,0.0804410979723758,0,9.2984179080218,0,1
"FBgn0030864",3.94264027346374,3.35059451679563,28.6600373893983,0.00468690908228339,0.0804410979723758,0.394221129191711,10.3956686023788,0.5,1
"FBgn0082990",4.97175714198068,3.23672358832229,45.9295249714288,0.00468798946311539,0.0804410979723758,0,9.23545017951758,0,1
"FBgn0053126",4.93355763666146,3.21770711437932,45.9039729471077,0.00469209244061992,0.0804410979723758,0,8.98643824625437,0,1
"FBgn0053317",5.47042639147737,3.50843441976032,45.8877420732024,0.00469470167599187,0.0804410979723758,0,13.1753968677836,0,1
"FBgn0050169",3.98611264977712,3.18142700975659,36.7582210006886,0.00469592491316217,0.0804410979723758,0.238773479132012,8.27609276419913,1,1
"FBgn0259741",4.43590663712529,3.08641489343003,37.5542532104335,0.0047118252795615,0.0804410979723758,0.047784379295965,7.30300176240725,0.5,1
"FBgn0038197",5.45557692253198,3.49971025567913,45.7581525441648,0.00471561777288546,0.0804410979723758,0,13.0362072807014,0,1
"FBgn0266390",4.18686421160715,3.13774228537632,45.2129581386437,0.00471930939976528,0.0804410979723758,0.142907885844457,7.82749837379228,1,1
"FBgn0264738",5.7207368042925,3.66083380853706,45.6917159141414,0.00472639874945504,0.0804410979723758,0,15.7279334419425,0,1
"FBgn0026777",2.70064192989471,5.2317161592593,28.5243164290168,0.00472988587592085,0.0804410979723758,8.53395821806441,57.123054246922,1,1
"FBgn0034418",2.85361800762768,4.18793608517271,28.5240724242305,0.00472996365979098,0.0804410979723758,3.03727342890017,23.8557377777829,1,1
"FBgn0035763",2.53496473006994,5.4598633368503,28.5174021748408,0.00473209072766939,0.0804410979723758,11.3382434410474,67.1928142669713,1,1
"FBgn0086446",4.55345250736244,3.27485453682567,28.4944149606207,0.00473943182550806,0.0804410979723758,0.119460948239913,9.62409564097378,0.5,1
"FBgn0046214",5.24096317936545,3.37806485727738,45.6108481804559,0.00473957488314387,0.0804410979723758,0,11.193323640465,0,1
"FBgn0054039",4.08740901262279,3.46954926989985,28.4921650846989,0.0047401512313169,0.0804410979723758,0.426348979968367,12.1299374162557,1,1
"FBgn0033358",-1.663787184225,7.73539053313138,28.4883250447246,0.00474137946684951,0.0804410979723758,316.570336386842,99.7014922671792,1,1
"FBgn0052099",3.79003614035112,3.28621866481153,28.4791579043938,0.00474431345704529,0.0804410979723758,0.406167224015703,9.484799508025,0.5,1
"FBgn0039937",4.14441882805246,4.42635872821726,28.4608498904727,0.00475018098646474,0.0804410979723758,1.52628020786244,31.972720780837,1,1
"FBgn0032268",4.19051937096142,3.24657264019873,28.4578207338221,0.00475115282350964,0.0804410979723758,0.212358194571214,9.14703964953184,0.5,1
"FBgn0037297",4.02015782853209,3.57494014942399,28.4538682347167,0.00475242133180147,0.0804410979723758,0.561169622031964,13.6842243094521,1,1
"FBgn0034654",5.01080886728117,3.25646608065404,45.5181881794231,0.00475474484066654,0.0804410979723758,0,9.49794709223215,0,1
"FBgn0036255",4.62229295897905,3.45619063207989,28.4294748642085,0.00476026107595832,0.0804410979723758,0.200560517095035,12.1548474884042,0.5,1
"FBgn0052850",3.6225955105416,5.8429834138427,28.4255784234827,0.00476151509894034,0.0804410979723758,7.64222649565293,97.7287842458036,1,1
"FBgn0262974",5.18185609186994,3.34592749054582,45.448907147804,0.00476613814922146,0.0804410979723758,0,10.7307648142071,0,1
