"","logFC","logCPM","F","PValue","FDR","mean1","mean2","frac1","frac2"
"FBgn0265656",2.34068533387849,2.36521729973958,5.95835802305479,0.136096378935968,0.462169317502456,0,1.209860990714,0,0.5
"FBgn0034971",1.03244617429953,4.29305320507219,2.73202138649798,0.136154072298456,0.462272647887416,10.9561252245522,22.7344471358546,1,1
"FBgn0040337",1.9003356728528,2.83784508917704,2.73137416849761,0.136194447556227,0.462272647887416,1.13414557572173,4.99777238764608,0.5,1
"FBgn0029134",1.91650906989504,2.97000762906879,2.73120343949971,0.136205100735303,0.462272647887416,1.47154231497619,6.38129357762253,0.75,1
"FBgn0002780",1.79323065864344,4.26629793459341,2.73029703300528,0.136261677245722,0.4623760706999,7.85931384524053,27.9553091988826,1,1
"FBgn0051864",1.82496545799407,3.93812808444582,2.72961354397677,0.136304360069416,0.462427687041552,5.64017392598694,20.6526803470085,1,1
"FBgn0037369",1.70585365269434,2.74626067302525,3.11049506675481,0.13632910188737,0.462427687041552,1.00978929612007,3.91381133865165,0.5,1
"FBgn0038420",1.48850781166282,2.98768041940904,2.72827866901792,0.136387771747724,0.462538120039715,1.87083015588003,5.83286356453277,0.75,1
"FBgn0267736",2.10862012399698,2.53504148029795,6.19587466324178,0.136460431738638,0.462695947049481,0.348105430569646,2.46840563648138,0.5,1
"FBgn0040475",1.57879875120013,2.95574828217938,2.72619483860244,0.136518117555631,0.462729458018289,1.70507350063403,5.67132100610037,0.75,1
"FBgn0267815",-2.15385048339472,3.69201213995819,2.72605978585365,0.136526570912217,0.462729458018289,11.0813948471362,2.25537371517523,1,1
"FBgn0284228",1.58843184345574,4.53557624791745,2.72570652054682,0.136548686109727,0.462729458018289,10.9978144812085,33.5617801661689,0.75,1
"FBgn0266174",1.27775026670582,3.87538981290638,2.72464663135384,0.136615065879205,0.462865849640082,6.66393011060937,16.5638947434063,1,1
"FBgn0032297",0.863888812944063,5.93784677214935,2.72228615151711,0.136763053205511,0.463278630986654,44.4227137317401,80.9890273552251,1,1
"FBgn0034797",2.38550082711584,2.38859694255036,20.7590012039603,0.136912959557509,0.463697753851272,0.0282773111787324,1.40839574683612,0.5,1
"FBgn0266751",1.58652349588339,3.07721091444355,2.7188719543902,0.13697747606882,0.463827572855477,2.08780476418592,6.928480555602,0.75,1
"FBgn0029518",2.277703528784,3.4810827893154,2.71563090263726,0.137181435019467,0.464429426318773,2.68562431915874,14.058567939813,0.25,1
"FBgn0032720",1.91924811252499,3.09075490313746,2.71053748407786,0.137502772911649,0.46530548127508,1.82018037803708,7.74132530700507,0.5,1
"FBgn0267605",-3.96488115641141,4.13875026530194,2.71047134451143,0.137506952104067,0.46530548127508,18.8078984343976,0.92298673518388,0.5,0.5
