"","logFC","logCPM","F","PValue","FDR","mean1","mean2","frac1","frac2"
"FBgn0039413",0.221740384456068,3.28322160185341,0.0203815526102255,0.888133620970703,1,4.70627015375485,5.53000777541755,0.5,0.5
"FBgn0039690",0.219932040023365,2.78290117456217,0.0203414507804356,0.888242939306061,1,2.02301483201586,2.43404107153495,0.5,0.25
"FBgn0038672",-0.155102212058114,3.58094143639312,0.0202943373970837,0.888371511986533,1,7.72637321314539,6.90173994344064,1,1
"FBgn0028342",-0.0937790309385697,6.92454060811994,0.0202334157776503,0.888537993636321,1,120.597910119954,113.068525446597,1,1
"FBgn0036825",0.164574733770094,4.3869053167956,0.0201791193256902,0.88868658644599,1,15.3564415058897,17.2879180138475,1,1
"FBgn0031377",0.11011753297887,4.75196803485427,0.0201632799322886,0.888729972487901,1,21.4522902064204,23.2029018292285,1,1
"FBgn0032518",-0.0989791439838064,5.58407756690281,0.020151698785469,0.888761705685784,1,44.8782196539164,41.838473750929,1,1
"FBgn0260386",-0.203277518363495,2.31011352059387,0.0485805711304626,0.888969403885204,1,0.361679117954517,0.274542216625351,0.25,0.25
"FBgn0004367",-0.206534962688583,2.29587909349718,0.068633502630051,0.889143166554186,1,0.308786125780326,0.223704787004758,0.75,0.5
"FBgn0046214",0.192325712255718,3.09038161319979,0.0200028314688698,0.889170445306858,1,3.59479965336328,4.15640198683721,0.75,1
"FBgn0028996",0.0543100599811083,6.73646229064878,0.0199465529921099,0.889325371494039,1,100.071788467031,103.932300372365,1,1
"FBgn0036900",-0.19143346011927,3.48339141058689,0.0199073782502461,0.889433345446952,1,6.98587231124542,6.12394389361543,0.75,1
"FBgn0051989",0.203368429351385,3.35364011496358,0.0197738813209968,0.889802108477958,1,5.15460007883111,6.0266428787967,1,0.75
"FBgn0033899",0.209235245810847,2.40897338937863,0.0352266567460497,0.889997930735536,1,0.586858863453084,0.750167088522778,0.5,0.5
"FBgn0042094",-0.177371023224744,2.3741605545932,0.0399829253244399,0.890033222789621,1,0.587276395065054,0.49761561178065,1,0.5
"FBgn0032408",-0.236667236368402,3.27071892225476,0.0196855023357885,0.890046940262944,1,5.47155782923055,4.61279713595087,0.5,0.5
"FBgn0034401",0.184265830313326,2.72188628099932,0.0196215519509766,0.890224448781199,1,1.80296119385806,2.10136017725577,0.75,0.75
"FBgn0259221",-0.0771791806844498,5.59024850592465,0.0196111239470534,0.890253422010224,1,44.7231819722709,42.3478835277594,1,1
"FBgn0261683",0.081993529105967,2.21955222666023,0.127619899650288,0.890356341813337,1,0.00592916586810684,0.0233652950319448,0.25,0.25
"FBgn0261697",0.081993529105967,2.21955222666023,0.127619899650288,0.890356341813337,1,0.00592916586810684,0.0233652950319448,0.25,0.25
"FBgn0037238",-0.0604189973715465,6.10216746246494,0.0195218321734455,0.890501833412034,1,65.3944015813298,62.72807356408,1,1
"FBgn0033753",-0.224256536359608,3.0661376095144,0.0195214025840138,0.890503029937939,1,4.04629970592976,3.43127492171363,0.5,0.75
"FBgn0037358",0.123528764514153,4.18121689725715,0.0194378382573224,0.890736035871002,1,12.9062825114166,14.0434849631067,1,1
"FBgn0030067",-0.182875612263873,2.26469695511625,0.0755316538799692,0.890736347440767,1,0.188074685017872,0.137422015097637,0.75,0.25
"FBgn0034500",-0.162660349866182,2.50283580965311,0.0214488075299457,0.890907441162881,1,1.10625095497251,0.960678049561298,1,0.75
"FBgn0037529",0.167356853103575,3.68841552305389,0.019374766123132,0.890912241247806,1,7.75710268581553,8.7655230492168,1,1
"FBgn0051812",0.188358620012501,2.36754861325715,0.0329002838904394,0.891088601135041,1,0.468404103580441,0.571852193114542,0.25,0.5
"FBgn0035544",-0.195411280318756,2.70982315547308,0.0192610230415797,0.891230748070731,1,2.05646565375545,1.75762761562067,0.5,0.75
"FBgn0264325",0.178308592843059,2.41398272239527,0.034494477672864,0.89154087400222,1,0.627986050897965,0.747027246708979,0.5,1
"FBgn0003514",-0.115513669624631,4.8123602409547,0.0191456395060473,0.891554830520546,1,24.4175065046144,22.4994543126563,1,1
"FBgn0036299",-0.164297273625324,3.77369692743208,0.0190644397820576,0.891783497180927,1,9.58009392399808,8.48382027595801,0.75,1
"FBgn0030189",0.17881910657466,2.69298238266232,0.0188686632819567,0.892336874864143,1,1.69048028056541,1.92548324486641,1,0.5
"FBgn0029587",0.176453490126137,2.8814967308174,0.0188506227604727,0.892388014861853,1,2.54949031071762,2.91591229134051,1,1
"FBgn0038834",-0.0876667218968601,5.77911770020152,0.0187215501181238,0.892754631281781,1,51.8076550284689,48.7933727783478,1,1
"FBgn0266693",-0.204784946708036,3.31310664731142,0.018632119978736,0.893009403973446,1,5.67160923190206,4.90593683094889,0.75,0.5
"FBgn0054041",0.19277405107648,2.37366336004842,0.0307184377893106,0.893043990910062,1,0.486191601184761,0.603461892385274,0.25,0.25
"FBgn0033639",0.080196450661329,5.23806134896459,0.0185964673486297,0.893111146610777,1,32.169327099157,34.011085709615,1,1
"FBgn0029819",-0.117055245219217,4.41905521022944,0.0184436396409235,0.893548405043482,1,17.4218163335899,16.0781849179228,1,1
"FBgn0267601",0.101470484684525,6.0484814444032,0.0184420683160093,0.893552910366432,1,59.3374684783792,63.7678595596283,0.75,1
"FBgn0020762",-0.0817950432774532,5.0250351331596,0.0183721947413453,0.893753450959836,1,28.7241958560325,27.1389750054401,1,1
"FBgn0027453",0.13731163091334,4.23953977114433,0.0182914426875411,0.893985698191097,1,13.5366024933513,14.9843694873431,1,1
"FBgn0032040",-0.155640707036527,2.24064170015657,0.0855177042851934,0.894145729469705,1,0.100824355615299,0.0642545613378482,0.25,0.25
"FBgn0000032",0.186752265584654,3.07614244110747,0.0182288049816065,0.894166207697897,1,3.50361056903787,4.06307436515381,1,1
"FBgn0034971",0.12160766895552,3.98692491451621,0.0182185888319426,0.894195678591397,1,10.7234931394484,11.7089690577813,1,1
"FBgn0032488",-0.200293829274866,3.19323701899927,0.0182070221770472,0.894229055503299,1,4.85621229818167,4.18659464837661,0.75,0.75
